speed(RPM),x,y,z,torque (lb.in),power (HP),stiches
20,1.004,0.09,-0.125,20,1,200
21,1.004,-0.043,-0.125,30,1,210
22,0.969,0.09,-0.121,57,2,220
23,0.973,-0.012,-0.137,82,4,230
24,1,-0.016,-0.121,105,4,240
25,0.961,0.082,-0.121,126,5,250
26,0.973,-0.055,-0.109,145,3,260
27,1,0.012,-0.133,163,7,270
28,0.969,-0.102,-0.141,180,8,280
29,0.973,-0.059,-0.125,196,9,290
30,1.012,0.043,-0.133,210,10,300
31,0.996,-0.109,-0.148,224,11,310
32,0.988,-0.02,-0.125,236,12,320
33,1.012,0.043,-0.129,248,13,330
34,0.996,-0.09,-0.152,260,14,340
35,0.965,-0.102,-0.117,270,15,350
36,1.004,0.055,-0.121,280,16,360
37,0.988,-0.059,-0.141,290,17,360
38,0.969,-0.086,-0.117,299,18,380
39,1.039,0.094,-0.117,307,19,390
40,0.984,0.113,-0.148,300,20,400
41,1.008,0.012,-0.141,323,21,410
42,0.996,0.035,-0.141,330,22,420
43,0.988,-0.066,-0.125,337,23,430
44,0.965,-0.156,-0.113,344,24,440
45,0.992,0.059,-0.129,350,25,450
46,0.992,-0.031,-0.125,356,26,460
47,0.973,-0.133,-0.148,362,27,470
48,1.031,0.102,-0.145,368,28,480
49,0.984,-0.035,-0.125,373,29,490
50,0.984,-0.004,-0.137,378,30,500
51,1,0.098,-0.125,383,31,510
52,1.031,-0.012,-0.129,388,32,520
53,0.965,-0.148,-0.152,392,33,530
54,1.012,0.102,-0.129,397,34,540
55,1.008,-0.008,-0.133,200,35,550
56,0.965,-0.129,-0.164,405,36,560
57,1.004,0.145,-0.121,409,37,570
58,1.008,0.004,-0.121,413,38,580
59,0.984,0.027,-0.121,417,39,590
60,1.031,0.07,-0.117,420,40,600
61,0.977,-0.051,-0.152,424,41,610
62,0.98,-0.094,-0.117,427,42,620
63,1.02,0.082,-0.125,430,43,630
64,0.98,-0.012,-0.137,433,44,640
65,0.977,-0.09,-0.125,436,45,650
66,1.023,0.109,-0.109,422,46,660
67,0.992,0.008,-0.137,442,47,670
68,1.004,0.004,-0.133,445,48,680
69,0.996,0.078,-0.133,448,49,690
70,1,-0.039,-0.125,450,50,700
71,0.965,0.113,-0.117,453,51,710
72,0.973,-0.027,-0.117,455,52,720
73,1.008,-0.02,-0.121,458,53,730
74,0.965,0.09,-0.121,460,54,740
75,0.957,-0.047,-0.113,462,55,750
76,1.012,-0.004,-0.125,464,56,760
77,0.969,-0.051,-0.133,467,57,770
78,1,0.121,-0.125,469,58,780
79,1.016,0.023,-0.121,471,59,790
80,0.988,-0.121,-0.156,473,60,800
81,0.992,-0.035,-0.137,428,61,810
82,1,0.039,-0.125,477,62,820
83,0.992,-0.094,-0.156,478,63,830
84,0.969,-0.086,-0.129,480,64,840
85,1,0.051,-0.121,482,65,850
86,0.984,0.082,-0.148,484,66,860
87,1.031,0.102,-0.121,485,67,870
88,0.996,0,-0.145,487,68,880
89,0.973,-0.09,-0.125,489,69,890
90,0.961,-0.023,-0.133,490,70,900
91,0.988,0.023,-0.137,492,71,910
92,0.984,-0.082,-0.121,493,72,920
93,0.965,-0.152,-0.148,495,73,930
94,0.992,0.008,-0.129,496,74,940
95,0.996,-0.051,-0.121,498,75,950
96,0.969,-0.141,-0.148,421,76,960
97,0.996,0.094,-0.141,500,77,970
98,1.027,-0.031,-0.133,502,78,980
99,0.977,-0.09,-0.145,503,79,990
100,0.996,0.109,-0.133,504,80,1000
101,1.047,-0.016,-0.113,505,81,1010
102,0.973,-0.133,-0.148,507,82,1020
103,0.988,0.055,-0.129,508,83,1030
104,1.02,0.008,-0.129,509,84,1040
105,1.004,0.148,-0.121,510,85,1050
106,1.023,0.078,-0.121,511,86,1060
107,0.996,-0.031,-0.137,512,87,1070
108,0.973,-0.086,-0.113,514,88,1080
109,1.031,0.082,-0.121,515,89,1110
110,0.984,-0.043,-0.152,516,90,1100
111,0.973,-0.078,-0.125,512,91,1110
112,1.027,0.074,-0.125,518,92,1120
113,0.988,-0.008,-0.141,519,93,1130
114,0.98,-0.094,-0.125,520,94,1140
115,1.027,0.105,-0.121,521,95,1150
116,0.977,0.012,-0.145,522,96,1165
117,1.023,0.09,-0.125,523,97,1170
118,0.969,0.102,-0.105,523,98,1180
119,0.98,-0.02,-0.117,524,99,1190
120,0.984,0.008,-0.125,525,100,1200
121,0.973,-0.043,-0.117,526,101,1210
122,1.004,0,-0.125,527,102,1220
123,0.973,-0.137,-0.156,528,103,1230
124,0.973,-0.039,-0.121,529,104,1240
125,1.016,0.012,-0.133,529,105,1250
126,0.996,-0.125,-0.152,478,106,1260
127,0.961,-0.086,-0.113,531,107,1270
128,1.004,0.035,-0.129,532,108,1280
129,0.98,-0.082,-0.152,533,109,1290
130,0.973,-0.078,-0.121,533,110,1300
131,1.027,0.066,-0.121,534,111,1310
132,0.992,-0.063,-0.145,535,112,1320
133,0.988,-0.051,-0.125,535,113,1330
134,1.023,0.078,-0.125,536,114,1340
135,1.004,0.109,-0.145,537,115,1350
136,1.031,0.117,-0.121,538,116,1360
137,0.992,0.016,-0.137,538,117,1370
138,0.98,-0.059,-0.125,209,118,1380
139,0.973,-0.152,-0.152,540,119,1390
140,1.004,0.074,-0.137,540,120,1400
141,1.012,-0.027,-0.137,541,121,1410
142,0.965,-0.133,-0.148,541,122,1420
143,1.004,0.086,-0.125,542,123,1430
144,1.031,-0.051,-0.133,543,124,1440
145,0.996,-0.031,-0.141,543,125,1450
146,0.996,0.086,-0.129,544,126,1460
147,1.023,-0.02,-0.121,545,127,1470
148,0.957,-0.152,-0.156,545,128,1480
149,1.004,0.063,-0.121,546,129,1490
150,1.023,0.004,-0.133,546,130,1500
151,1,0.141,-0.117,547,131,1510
152,1.012,0.063,-0.125,547,132,1520
153,0.988,-0.059,-0.145,548,133,1530
154,0.977,-0.063,-0.121,548,134,1540
155,1.023,0.074,-0.129,549,135,1550
156,0.988,-0.051,-0.156,528,136,1560
157,0.977,-0.094,-0.109,550,137,1570
158,1.02,0.051,-0.125,550,138,1580
159,0.984,-0.031,-0.148,551,139,1590
160,0.977,-0.109,-0.125,551,140,1600
161,1.031,0.098,-0.129,552,141,1610
162,0.996,-0.004,-0.145,552,142,1620
163,0.98,-0.082,-0.121,553,143,1630
164,1.039,0.117,-0.121,553,144,1640
165,0.973,0.023,-0.137,554,145,1650
166,1.016,0.016,-0.125,554,146,1660
167,0.992,0.09,-0.133,555,147,1670
168,1,-0.023,-0.148,555,148,1680
169,0.957,-0.148,-0.113,556,149,1690
170,0.988,0.043,-0.125,556,150,1700
171,1.004,-0.004,-0.137,512,151,1710
172,0.965,-0.137,-0.109,557,152,1720
173,1.008,0.141,-0.125,557,153,1730
174,1.008,-0.012,-0.121,558,154,1740
175,0.969,-0.121,-0.121,558,155,1750
176,1.008,0.148,-0.121,559,156,1760
177,1.016,0.031,-0.129,559,157,1770
178,1.016,-0.004,-0.129,559,158,1780
179,0.965,-0.07,-0.117,560,159,1790
180,1.02,0.047,-0.125,560,160,1800
181,0.984,0.141,-0.152,561,161,1810
182,1,0.055,-0.125,561,162,1820
183,0.984,-0.008,-0.137,561,163,1830
184,0.984,0.121,-0.117,562,164,1840
185,0.973,-0.137,-0.137,562,165,1850
186,1,-0.008,-0.129,562,166,1860
187,0.98,0.082,-0.125,563,167,1870
188,0.969,-0.129,-0.137,563,168,1880
189,0.988,0.047,-0.137,234,169,1890
190,1.02,-0.043,-0.129,564,170,1900
191,0.969,-0.113,-0.141,564,171,1910
192,1.004,0.063,-0.133,565,172,1920
193,1.035,-0.063,-0.129,565,173,1930
194,0.973,-0.094,-0.141,565,174,1940
195,0.996,0.066,-0.137,566,175,1950
196,1.031,-0.035,-0.133,566,176,1960
197,0.961,-0.156,-0.152,566,177,1970
198,1.004,0.059,-0.133,567,178,1980
199,1.027,0.035,-0.125,567,179,1990
200,1,0.141,-0.125,567,180,2000
201,1.012,0.043,-0.125,243,181,2010
202,0.988,-0.07,-0.148,568,182,2020
203,0.977,-0.063,-0.117,568,183,2030
204,1.016,0.063,-0.125,568,184,2040
205,0.977,-0.09,-0.156,569,185,2050
206,0.977,-0.074,-0.125,569,186,2060
207,1.027,0.059,-0.125,569,187,2070
208,0.98,-0.063,-0.145,570,188,2080
209,0.969,-0.102,-0.121,570,189,2090
210,1.008,0.066,-0.125,570,190,2100
211,0.977,-0.035,-0.145,571,191,2110
212,0.98,-0.09,-0.121,571,192,2120
213,1.039,0.109,-0.117,571,193,2130
214,0.988,-0.004,-0.137,571,194,2140
215,0.98,-0.066,-0.125,572,195,2150
216,1.035,0.098,-0.117,321,196,2160
217,0.973,0.02,-0.141,572,197,2170
218,1.02,0.082,-0.125,572,198,2180
219,0.988,0.078,-0.129,573,199,2190
220,0.996,-0.031,-0.133,573,200,2200
221,0.957,-0.156,-0.117,573,201,2210
222,1.012,0.066,-0.125,573,202,2220
223,1.008,-0.02,-0.129,574,203,2230
224,0.961,-0.133,-0.152,574,204,2240
225,1.004,0.141,-0.129,574,205,2250
226,1,0.016,-0.125,574,206,2260
227,0.988,0.121,-0.156,575,207,2270
228,1.027,0.07,-0.113,123,208,2280
229,0.973,-0.059,-0.156,575,209,2290
230,0.984,0.074,-0.117,575,210,2300
231,0.988,-0.066,-0.137,576,211,2310
232,0.98,-0.031,-0.148,576,212,2320
233,0.965,0.121,-0.098,576,213,2330
234,0.992,-0.063,-0.129,576,214,2340
235,0.992,-0.004,-0.141,577,215,2350
236,0.973,-0.09,-0.121,577,216,2360
237,1.035,0.117,-0.121,577,217,2370
238,1.008,0.004,-0.133,577,218,2380
239,1.035,-0.074,-0.129,578,219,2390
240,0.961,-0.137,-0.148,501,220,2400
241,1,0.043,-0.141,578,221,2410
242,0.965,-0.031,-0.129,578,222,2420
243,0.969,-0.129,-0.152,578,223,2430
244,0.992,0.078,-0.133,579,224,2440
245,1.039,0.082,-0.125,579,225,2450
246,1.012,0.043,-0.133,579,226,2460
247,1,0.016,-0.117,579,227,2470
248,0.953,-0.113,-0.141,579,228,2480
249,0.965,-0.078,-0.125,580,229,2490
250,1.004,-0.008,-0.125,580,230,2500
251,0.977,0.039,-0.117,580,231,2510
252,0.965,-0.086,-0.117,580,232,2520
253,1.02,0.059,-0.117,580,233,2530
254,0.992,-0.02,-0.148,581,234,2540
255,0.965,-0.082,-0.129,581,235,2550
256,1.031,0.066,-0.117,581,236,2560
257,0.984,-0.07,-0.16,581,237,2570
258,0.98,-0.031,-0.125,581,238,2580
259,1.027,0.078,-0.125,582,239,2590
260,0.98,-0.047,-0.145,582,240,2600
261,0.98,-0.09,-0.125,582,241,2610
262,1.02,0.051,-0.125,582,242,2620
263,0.98,-0.016,-0.148,582,243,2630
264,0.965,-0.102,-0.113,583,244,2640
265,1.008,0.098,-0.121,583,245,2650
266,0.98,0.051,-0.145,583,246,2660
267,1.039,0.102,-0.125,583,247,2670
268,1.004,0.094,-0.133,583,248,2680
269,0.992,-0.039,-0.129,583,249,2690
270,0.969,-0.109,-0.148,584,250,2700
271,1,0.109,-0.125,584,251,2710
272,1.008,-0.027,-0.125,584,252,2720
273,0.973,-0.105,-0.141,584,253,2730
274,0.992,0.098,-0.129,584,254,2740
275,1.023,-0.004,-0.125,584,255,2750
276,0.957,-0.141,-0.156,585,256,2760
277,0.992,0.039,-0.125,585,257,2770
278,1.012,0.02,-0.129,585,258,2780
279,1.031,0.133,-0.145,585,259,2790
280,1.008,0.094,-0.125,585,260,2800
281,0.992,0.004,-0.145,585,261,2810
282,1.027,-0.078,-0.133,586,262,2820
283,0.984,-0.094,-0.145,586,263,2830
284,0.988,-0.027,-0.145,586,264,2840
285,1.02,-0.035,-0.109,586,265,2850
286,1.031,0.094,-0.125,586,266,2860
287,0.992,-0.004,-0.141,586,267,2870
288,0.98,-0.094,-0.117,586,268,2887
289,1.031,0.047,-0.133,587,269,2890
290,0.988,0.027,-0.141,587,270,2900
291,1.047,0.102,-0.133,587,271,2910
292,0.996,0.121,-0.129,587,272,2920
293,1.004,-0.004,-0.137,587,273,2930
294,0.973,0.082,-0.125,587,274,2940
295,0.973,-0.063,-0.121,588,275,2950
296,1.012,0.004,-0.133,588,276,2960
297,0.977,-0.082,-0.137,588,277,2970
298,0.973,-0.07,-0.121,588,278,2980
299,1.008,0.031,-0.125,588,279,2990
300,0.988,-0.09,-0.148,588,280,3000
301,0.969,-0.055,-0.125,588,281,3010
302,1.016,0.043,-0.125,589,282,3020
303,0.988,-0.098,-0.156,589,283,3030
304,0.957,-0.043,-0.125,589,284,3040
305,1.031,0.059,-0.125,589,285,3050
306,0.98,-0.066,-0.156,589,286,3060
307,0.977,-0.094,-0.113,589,287,3070
308,1.023,0.012,-0.137,589,288,3080
309,0.984,-0.035,-0.145,589,289,3090
310,0.938,-0.102,-0.105,590,290,3100
311,1.023,0.098,-0.113,590,291,3110
312,0.984,0.039,-0.141,223,292,3120
313,1.027,0.102,-0.117,590,293,3130
314,1.004,0.086,-0.137,590,294,3140
315,0.988,-0.047,-0.121,590,295,3150
316,0.98,-0.082,-0.121,590,296,3160
317,1.004,0.09,-0.133,590,297,3170
318,1,-0.039,-0.129,591,298,3180
319,0.969,-0.125,-0.145,591,299,3190
320,0.996,0.086,-0.141,591,300,3200
321,1.004,-0.008,-0.129,591,301,3210
322,0.957,-0.145,-0.156,591,302,3220
323,1.008,0.059,-0.125,591,303,3230
324,1.012,0.008,-0.121,591,304,3240
325,1.023,0.125,-0.156,591,305,3250
326,1.008,0.082,-0.121,592,306,3260
327,0.973,0.008,-0.117,592,307,3270
328,0.977,-0.082,-0.121,592,308,3280
329,0.984,-0.09,-0.137,592,309,3290
330,0.988,-0.027,-0.145,592,310,3300
331,0.98,-0.035,-0.121,592,311,3310
332,1.035,0.098,-0.125,592,312,3320
333,0.992,-0.008,-0.141,592,313,3330
334,0.984,-0.094,-0.121,593,314,3340
335,1.027,0.066,-0.125,593,315,3350
336,0.992,0.023,-0.145,600,316,3360
337,1.051,-0.078,-0.133,650,317,3370
338,0.977,-0.113,-0.145,593,318,3380
339,0.988,0.043,-0.137,593,319,3390
340,1.031,0.082,-0.125,593,320,3400
341,1,0.137,-0.113,593,321,3410
342,0.977,0.027,-0.137,593,322,3420
343,0.969,-0.105,-0.145,594,323,3430
344,0.969,-0.07,-0.121,594,324,3440
345,1.012,0.023,-0.129,594,325,3450
346,0.961,-0.004,-0.129,594,326,3460
347,0.969,-0.066,-0.125,594,327,3470
348,1.027,0.039,-0.125,594,328,3480
349,0.961,-0.105,-0.148,594,329,3490
350,0.977,-0.031,-0.125,594,330,3500
351,1.023,0.059,-0.113,594,331,3510
352,0.98,-0.078,-0.148,594,332,3520
353,0.98,-0.086,-0.121,595,333,3530
354,1.012,0.055,-0.125,595,334,3540
355,0.988,-0.051,-0.16,595,335,3550
356,0.973,-0.105,-0.121,595,336,3560
357,0.957,0.051,-0.129,595,337,3570
358,0.977,-0.016,-0.141,595,338,3580
359,0.973,-0.098,-0.125,595,339,3590
360,1.039,0.113,-0.113,595,340,3600
361,1.008,0.02,-0.117,595,341,3610
362,1.039,0.098,-0.121,595,342,3620
363,1.004,0.086,-0.125,596,343,3630
364,1.008,-0.047,-0.129,596,344,3640
365,0.969,-0.074,-0.133,596,345,3650
366,0.996,0.102,-0.133,596,346,3660
367,1.008,-0.008,-0.129,596,347,3670
368,0.969,-0.129,-0.145,596,348,3680
369,0.996,0.094,-0.133,596,349,3690
370,1.027,0,-0.129,596,350,3700
371,0.988,0.148,-0.152,596,351,3710
372,1.008,0.063,-0.125,596,352,3720
373,0.977,-0.059,-0.148,596,353,3730
374,0.973,0.145,-0.129,597,354,3740
375,0.984,-0.082,-0.125,630,355,3750
376,0.988,0.012,-0.133,597,356,3760
377,1.039,-0.086,-0.125,597,357,3770
378,0.977,-0.105,-0.141,597,358,3780
379,0.984,-0.012,-0.141,597,359,3790
380,0.984,-0.039,-0.125,597,360,3800
381,1.039,0.098,-0.117,597,361,3810
382,0.984,0.023,-0.145,597,362,3820
383,1.027,-0.066,-0.137,597,363,3830
384,0.98,-0.098,-0.137,597,364,3840
385,0.992,0.043,-0.137,598,365,3850
386,1.035,0.105,-0.121,598,366,3860
387,1.051,0.02,-0.117,598,367,3870
388,0.992,-0.004,-0.117,598,368,3880
389,0.965,0.086,-0.121,598,369,3890
390,0.965,-0.066,-0.129,598,370,3900
391,1,-0.008,-0.137,598,371,3910
392,0.973,0.063,-0.129,598,372,3920
393,0.961,-0.074,-0.117,598,373,3930
394,1.02,0.035,-0.125,598,374,3940
395,0.973,-0.066,-0.156,598,375,3950
396,0.969,-0.078,-0.117,598,376,3960
397,1.023,0.063,-0.125,634,377,3970
398,0.988,-0.051,-0.145,599,378,3980
399,0.98,-0.066,-0.121,599,379,3990
400,0.988,0.063,-0.133,599,380,4000
401,0.988,-0.059,-0.141,599,381,4010
402,0.988,-0.023,-0.121,599,382,4020
403,1.016,0.082,-0.125,599,383,4030
404,0.988,-0.039,-0.145,599,384,4040
405,0.977,-0.094,-0.125,599,385,4050
406,1.016,0.063,-0.121,599,386,4060
407,0.973,0.086,-0.137,599,387,4070
408,1.055,0.125,-0.113,599,388,4080
409,0.996,0.066,-0.133,599,389,4090
410,0.996,-0.035,-0.125,600,390,4100
411,0.965,-0.152,-0.121,600,391,4110
412,0.992,0.109,-0.137,600,392,4120
413,0.984,-0.012,-0.137,600,393,4130
414,0.965,-0.129,-0.148,600,394,4140
415,0.984,0.121,-0.137,600,395,4150
416,0.996,-0.016,-0.121,600,396,4160
417,0.996,-0.055,-0.148,600,397,4170
418,1.008,0.125,-0.133,600,398,4180
419,1.023,0.008,-0.129,600,399,4190
420,0.996,0.141,-0.145,600,400,4200
421,1.027,0.039,-0.125,600,401,4210
422,0.973,-0.074,-0.156,600,402,4220
423,0.973,-0.102,-0.121,600,403,4230
424,0.984,0.055,-0.129,601,404,4240
